/home/joshazimullah.linux/work_mounts/vmware/nsx/nsx-operator/.bin/projectlint ./...
/home/joshazimullah.linux/work_mounts/vmware/nsx/nsx-operator/internal/kubeapi/client.go:507:1: functions returning a struct and error must return *Struct, error so error paths can return nil, err: use *ListOptions, error
/home/joshazimullah.linux/work_mounts/vmware/nsx/nsx-operator/internal/statuscondition/status.go:92:1: functions returning a struct and error must return *Struct, error so error paths can return nil, err: use *NSXGroupStatus, error
/home/joshazimullah.linux/work_mounts/vmware/nsx/nsx-operator/internal/statuscondition/status.go:110:1: functions returning a struct and error must return *Struct, error so error paths can return nil, err: use *NSXNetworkCloudStatus, error
/home/joshazimullah.linux/work_mounts/vmware/nsx/nsx-operator/internal/stateoperator/manager_pipeline.go:167:1: functions returning a struct and error must return *Struct, error so error paths can return nil, err: use *ManagerBindings, error
/home/joshazimullah.linux/work_mounts/vmware/nsx/nsx-operator/internal/stateoperator/manager_pipeline.go:355:1: functions returning a struct and error must return *Struct, error so error paths can return nil, err: use *ManagerSnapshot, error
/home/joshazimullah.linux/work_mounts/vmware/nsx/nsx-operator/internal/stateoperator/manager_pipeline.go:406:1: functions returning a struct and error must return *Struct, error so error paths can return nil, err: use *ManagerPlan, error
/home/joshazimullah.linux/work_mounts/vmware/nsx/nsx-operator/internal/stateoperator/manager_pipeline.go:771:1: functions returning a struct and error must return *Struct, error so error paths can return nil, err: use *ManagerGroupSnapshot, error
/home/joshazimullah.linux/work_mounts/vmware/nsx/nsx-operator/internal/stateoperator/manager_pipeline.go:986:1: functions returning a struct and error must return *Struct, error so error paths can return nil, err: use *NSXGroupStatus, error
/home/joshazimullah.linux/work_mounts/vmware/nsx/nsx-operator/internal/stateoperator/manager_pipeline.go:1001:1: functions returning a struct and error must return *Struct, error so error paths can return nil, err: use *NSXGroupStatus, error
/home/joshazimullah.linux/work_mounts/vmware/nsx/nsx-operator/internal/stateoperator/manager_pipeline.go:1018:1: functions returning a struct and error must return *Struct, error so error paths can return nil, err: use *NSXGroupStatus, error
/home/joshazimullah.linux/work_mounts/vmware/nsx/nsx-operator/internal/stateoperator/manager_pipeline.go:1044:1: functions returning a struct and error must return *Struct, error so error paths can return nil, err: use *NSXGroupStatus, error
/home/joshazimullah.linux/work_mounts/vmware/nsx/nsx-operator/internal/stateoperator/manager_pipeline.go:1061:1: functions returning a struct and error must return *Struct, error so error paths can return nil, err: use *NSXGroupStatus, error
/home/joshazimullah.linux/work_mounts/vmware/nsx/nsx-operator/internal/stateoperator/manager_pipeline.go:1076:1: functions returning a struct and error must return *Struct, error so error paths can return nil, err: use *NSXGroupStatus, error
/home/joshazimullah.linux/work_mounts/vmware/nsx/nsx-operator/internal/stateoperator/reconciler.go:47:1: functions returning a struct and error must return *Struct, error so error paths can return nil, err: use *Result, error
/home/joshazimullah.linux/work_mounts/vmware/nsx/nsx-operator/internal/stateoperator/reconciler.go:91:1: functions returning a struct and error must return *Struct, error so error paths can return nil, err: use *Result, error
/home/joshazimullah.linux/work_mounts/vmware/nsx/nsx-operator/internal/stateoperator/reconciler.go:379:1: functions returning a struct and error must return *Struct, error so error paths can return nil, err: use *NSXNetworkCloud, error
/home/joshazimullah.linux/work_mounts/vmware/nsx/nsx-operator/internal/stateoperator/reconciler.go:395:1: functions returning a struct and error must return *Struct, error so error paths can return nil, err: use *NSXGroupStatus, error
/home/joshazimullah.linux/work_mounts/vmware/nsx/nsx-operator/internal/stateoperator/reconciler.go:500:1: functions returning a struct and error must return *Struct, error so error paths can return nil, err: use *NSXGroupStatus, error
make: *** [Makefile:31: project-lint] Error 3
